reviewerid,reviewno_reviewers,analoral_ct,cuddling_ct,cunninlingus_ct,ejaculationonbody_ct,fellatio_ct,intercourseanal_ct,intercoursevaginal_ct,kissing_ct,manualanalstimulation_ct,manualpenilestimulation_ct,manualvaginalstimulation_ct,massage_ct,sm_ct,testiclestimulation_ct,threesome_ct,analoral_ct_bin,cuddling_ct_bin,cunninlingus_ct_bin,ejaculationonbody_ct_bin,fellatio_ct_bin,intercourseanal_ct_bin,intercoursevaginal_ct_bin,kissing_ct_bin,manualanalstimulation_ct_bin,manualpenilestimulation_ct_bin,manualvaginalstimulation_ct_bin,massage_ct_bin,sm_ct_bin,testiclestimulation_ct_bin,threesome_ct_bin,avgspph_p50,avgspph_sd,avgspph_avg,app_reviewer_p50,app_reviewer_sd,app_reviewer_avg,perf_reviewer_p50,perf_reviewer_sd,perf_reviewer_avg,cscore_reviewer_p50,cscore_reviewer_sd,cscore_reviewer_avg,rvwdate_last_reviewer,rvwyear_last_reviewer,rvwdate_first_reviewer,rvwyear_first_reviewer,rptescorts_reviewers,rvwduration_years_reviewer,rvwduration_days_reviewer,appgap_reviewer_p50,age_cont2_p50,height_cont2_p50,breastsize_cont2_p50,breastcup_cont_p50,hairlength_cont_p50,kiss_bin_p50,kiss_tongue_bin_p50,blowjob_bin_p50,blowjob_condom_bin_p50,cuminmouth_bin_p50,touchpussy_bin_p50,lickpussy_bin_p50,sex_bin_p50,multiplepops_bin_p50,anal_bin_p50,rimming_bin_p50,sm_bin_p50,twogirlaction_bin_p50,bringsecondprovider_bin_p50,multipleguys_bin_p50,avgpph_p50,reviewno_escort_sd,appgap_reviewer_sd,age_cont2_sd,height_cont2_sd,breastsize_cont2_sd,breastcup_cont_sd,hairlength_cont_sd,kiss_bin_sd,kiss_tongue_bin_sd,blowjob_bin_sd,blowjob_condom_bin_sd,cuminmouth_bin_sd,touchpussy_bin_sd,lickpussy_bin_sd,sex_bin_sd,multiplepops_bin_sd,anal_bin_sd,rimming_bin_sd,sm_bin_sd,twogirlaction_bin_sd,bringsecondprovider_bin_sd,multipleguys_bin_sd,avgpph_sd,reviewno_escort_avg,appgap_reviewer_avg,age_cont2_avg,height_cont2_avg,breastsize_cont2_avg,breastcup_cont_avg,hairlength_cont_avg,kiss_bin_avg,kiss_tongue_bin_avg,blowjob_bin_avg,blowjob_condom_bin_avg,cuminmouth_bin_avg,touchpussy_bin_avg,lickpussy_bin_avg,sex_bin_avg,multiplepops_bin_avg,anal_bin_avg,rimming_bin_avg,sm_bin_avg,twogirlaction_bin_avg,bringsecondprovider_bin_avg,multipleguys_bin_avg,ontime_bin_avg,smokes_bin_avg,breastimplants_bin_avg,pubichair_cont_avg,transsexual_bin_avg,servicearea_bin_escort_avg,servicearea_bin_massage_avg,servicearea_bin_sm_avg,servicearea_bin_multiple_avg,pornstar_bin_avg,avgpph_avg,unqescorts_reviewers,ethnicity_n,ethnicity_mode,build_n,build_mode,breastappearance_n,breastappearance_mode,haircolor_n,haircolor_mode,hairtype_n,hairtype_mode,service_n,service_mode,reviewno_escort_max,reviewno_escort_min
329,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,197,,197,8,,8,9,,9,8.5,,8.5,01jul2006,2006,01jul2006,2006,0,0,0,-1,21,63,36,4,5,0,0,1,1,0,1,1,1,,1,,1,1,1,1,197,,,,,,,,,,,,,,,,,,,,,,,,10,-1,21,63,36,4,5,0,0,1,1,0,1,1,1,,1,,1,1,1,1,1,1,0,0,0,1,0,1,1,0,197,1,1,African american,1,Baby fat,1,Youthful,1,Black,1,Straight,1,Escort/Massage/S&M,10,10
405,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,200,,200,8,,8,9,,9,8.5,,8.5,01apr2011,2011,01apr2011,2011,0,0,0,-1,36,63,34,2,4,,,0,0,0,,,0,1,,,1,1,1,,200,,,,,,,,,,,,,,,,,,,,,,,,11,-1,36,63,34,2,4,,,0,0,0,,,0,1,,,1,1,1,,1,0,0,,0,0,0,1,0,0,200,1,1,German,1,Athletic,1,Perky,1,Blonde,1,Straight,1,S&M,11,11
409,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,,100,8,,8,9,,9,8.5,,8.5,01sep2002,2002,01sep2002,2002,0,0,0,-1,46,63,38,7,5,1,0,1,0,1,1,0,0,0,0,,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,102,-1,46,63,38,7,5,1,0,1,0,1,1,0,0,0,0,,0,0,0,0,1,0,0,,0,0,1,0,0,0,100,1,1,Native american,1,Heavy,1,Droopy,1,Brown,1,Curly,1,Massage,102,102
439,1,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,250,,250,8,,8,9,,9,8.5,,8.5,01oct2005,2005,01oct2005,2005,0,0,0,-1,21,63,34,2,4,1,0,1,1,0,1,1,1,1,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,13,-1,21,63,34,2,4,1,0,1,1,0,1,1,1,1,,,,,,,1,0,0,2,0,1,1,0,1,0,250,1,1,White,1,Thin,1,Youthful,1,Brown,1,Straight,1,Escort/Massage,13,13
546,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,160,,160,9,,9,9,,9,9,,9,01jan2004,2004,01jan2004,2004,0,0,0,0,21,63,34,4,5,1,1,1,0,0,1,1,1,0,,,0,1,,,160,,,,,,,,,,,,,,,,,,,,,,,,4,0,21,63,34,4,5,1,1,1,0,0,1,1,1,0,,,0,1,,,1,0,0,,0,1,1,0,1,0,160,1,1,Latina,1,Baby fat,1,Droopy,1,Black,1,Straight,1,Escort/Massage,4,4
564,1,0,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,340,,340,9,,9,9,,9,9,,9,01sep2010,2010,01sep2010,2010,0,0,0,0,21,66,34,2,5,1,1,1,0,0,1,1,1,1,,0,0,1,,1,340,,,,,,,,,,,,,,,,,,,,,,,,5,0,21,66,34,2,5,1,1,1,0,0,1,1,1,1,,0,0,1,,1,1,0,0,0,0,1,1,0,1,,340,1,1,African american,1,Athletic,1,Perky,1,Black,1,Straight,1,Escort/Massage,5,5
587,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,283.33334,,283.33334,7,,7,9,,9,8,,8,01mar2004,2004,01mar2004,2004,0,0,0,-2,41,63,38,5,5,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,283.33334,,,,,,,,,,,,,,,,,,,,,,,,514,-2,41,63,38,5,5,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,,0,1,1,0,1,0,283.33334,1,1,White,1,Heavy,1,Droopy,1,Black,1,Straight,1,Escort/Massage,514,514
588,1,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,300,,300,8,,8,9,,9,8.5,,8.5,01aug2009,2009,01aug2009,2009,0,0,0,-1,21,66,34,1,5,1,1,1,0,,1,1,1,,1,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,79,-1,21,66,34,1,5,1,1,1,0,,1,1,1,,1,,,,,,1,0,0,0,1,1,0,0,0,0,300,1,1,African american,1,Athletic,1,Youthful,1,Black,1,Straight,1,Escort,79,79
643,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,200,,200,9,,9,9,,9,9,,9,01jul2004,2004,01jul2004,2004,0,0,0,0,26,63,40,4,6,1,1,1,0,1,1,1,1,1,,,1,1,,1,200,,,,,,,,,,,,,,,,,,,,,,,,98,0,26,63,40,4,6,1,1,1,0,1,1,1,1,1,,,1,1,,1,1,0,0,,0,1,0,1,1,0,200,1,1,White,1,Baby fat,1,Average,1,Blonde,1,Straight,1,Escort/Massage/S&M,98,98
671,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,,100,9,,9,9,,9,9,,9,01nov2005,2005,01nov2005,2005,0,0,0,0,31,63,32,2,4,1,1,1,0,0,1,1,1,,0,,0,,,,100,,,,,,,,,,,,,,,,,,,,,,,,77,0,31,63,32,2,4,1,1,1,0,0,1,1,1,,0,,0,,,,1,1,0,0,0,1,1,0,1,0,100,1,1,White,1,Thin,1,Perky,1,Brown,1,Some curls,1,Escort/Massage,77,77
688,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,200,,200,7,,7,9,,9,8,,8,01jun2006,2006,01jun2006,2006,0,0,0,-2,41,66,44,5,2,1,1,1,0,1,1,,1,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,13,-2,41,66,44,5,2,1,1,1,0,1,1,,1,,,,,,,,1,0,0,,0,1,1,0,1,0,200,1,1,White,1,Heavy,1,Average,1,Red,1,Some curls,1,Escort/Massage,13,13
717,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,133,,133,8,,8,9,,9,8.5,,8.5,01apr2011,2011,01apr2011,2011,0,0,0,-1,21,63,42,6,4,1,1,1,0,1,1,1,1,1,,0,1,,,,133,,,,,,,,,,,,,,,,,,,,,,,,19,-1,21,63,42,6,4,1,1,1,0,1,1,1,1,1,,0,1,,,,1,0,0,0,0,1,0,1,1,0,133,1,1,Latina,1,Baby fat,1,Super nice,1,Black,1,Some curls,1,Escort/Massage/S&M,19,19
727,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,300,,300,8,,8,9,,9,8.5,,8.5,01feb2009,2009,01feb2009,2009,0,0,0,-1,26,66,34,3,5,1,1,1,0,1,1,1,1,1,0,1,0,,0,0,300,,,,,,,,,,,,,,,,,,,,,,,,89,-1,26,66,34,3,5,1,1,1,0,1,1,1,1,1,0,1,0,,0,0,1,0,1,,0,1,1,0,1,0,300,1,1,Asian,1,Thin,1,Super nice,1,Black,1,Straight,1,Escort/Massage,89,89
748,1,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,250,,250,8,,8,9,,9,8.5,,8.5,01jul2004,2004,01jul2004,2004,0,0,0,-1,26,63,36,4,5,1,0,1,1,0,1,1,0,1,0,,,1,,,250,,,,,,,,,,,,,,,,,,,,,,,,11,-1,26,63,36,4,5,1,0,1,1,0,1,1,0,1,0,,,1,,,1,1,0,0,0,1,0,1,1,0,250,1,1,White,1,Athletic,1,Perky,1,Blonde,1,Straight,1,Escort/Massage/S&M,11,11
749,1,0,0,0,0,0,0,0,6,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,360,,360,9,,9,9,,9,9,,9,01jan2009,2009,01jan2009,2009,0,0,0,0,31,66,34,4,4,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,360,,,,,,,,,,,,,,,,,,,,,,,,87,0,31,66,34,4,4,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,360,1,1,White,1,Athletic,1,Super nice,1,Blonde,1,Straight,1,Massage/S&M,87,87
752,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,200,,200,8,,8,9,,9,8.5,,8.5,01jul2007,2007,01jul2007,2007,0,0,0,-1,41,60,44,6,4,1,1,1,0,0,1,,,1,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,4,-1,41,60,44,6,4,1,1,1,0,0,1,,,1,,,,,,,0,0,0,0,0,1,1,0,1,,200,1,1,White,1,Heavy,1,Super nice,1,Other,1,Some curls,1,Escort/Massage,4,4
802,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,200,,200,8,,8,9,,9,8.5,,8.5,01oct2007,2007,01oct2007,2007,0,0,0,-1,26,60,36,5,5,1,0,1,0,0,1,,1,1,,,,1,1,,200,,,,,,,,,,,,,,,,,,,,,,,,56,-1,26,60,36,5,5,1,0,1,0,0,1,,1,1,,,,1,1,,1,0,0,,0,1,0,1,1,0,200,1,1,White,1,Athletic,1,Super nice,1,Blonde,1,Some curls,1,Escort/Massage/S&M,56,56
808,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,200,,200,7,,7,9,,9,8,,8,01jun2006,2006,01jun2006,2006,0,0,0,-2,36,69,42,2,4,1,0,1,0,0,1,1,1,1,0,,0,,1,,200,,,,,,,,,,,,,,,,,,,,,,,,9,-2,36,69,42,2,4,1,0,1,0,0,1,1,1,1,0,,0,,1,,1,0,0,2,0,1,1,0,1,0,200,1,1,White,1,Very fat,1,Perky,1,Red,1,Some curls,1,Escort/Massage,9,9
813,1,0,0,2,0,0,0,0,1,2,0,4,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,200,,200,9,,9,9,,9,9,,9,01jun2008,2008,01jun2008,2008,0,0,0,0,26,63,34,2,5,1,0,1,0,0,1,1,1,,0,,,1,1,,200,,,,,,,,,,,,,,,,,,,,,,,,32,0,26,63,34,2,5,1,0,1,0,0,1,1,1,,0,,,1,1,,1,0,0,0,0,1,1,0,1,0,200,1,1,White,1,Thin,1,Super nice,1,Blonde,1,Some curls,1,Escort/Massage,32,32
822,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,262.5,,262.5,9,,9,9,,9,9,,9,01oct2007,2007,01oct2007,2007,0,0,0,0,26,63,34,5,4,1,1,1,0,,1,1,1,1,0,0,0,1,1,0,262.5,,,,,,,,,,,,,,,,,,,,,,,,84,0,26,63,34,5,4,1,1,1,0,,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,262.5,1,1,White,1,Athletic,1,Super nice,1,Blonde,1,Straight,1,Escort/Massage,84,84
921,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,140,,140,7,,7,9,,9,8,,8,01mar2011,2011,01mar2011,2011,0,0,0,-2,26,63,34,3,5,1,1,0,0,0,1,0,1,,0,,0,1,,,140,,,,,,,,,,,,,,,,,,,,,,,,13,-2,26,63,34,3,5,1,1,0,0,0,1,0,1,,0,,0,1,,,1,1,0,2,0,0,1,0,0,0,140,1,1,White,1,Average,1,Super nice,1,Red,1,Some curls,1,Massage,13,13
926,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,250,,250,7,,7,9,,9,8,,8,01jun2006,2006,01jun2006,2006,0,0,0,-2,46,60,36,5,5,1,1,0,0,0,0,1,0,,0,,1,,,,250,,,,,,,,,,,,,,,,,,,,,,,,2,-2,46,60,36,5,5,1,1,0,0,0,0,1,0,,0,,1,,,,1,0,0,,0,0,0,1,0,0,250,1,1,White,1,Flabby,1,Average,1,Brown,1,Straight,1,S&M,2,2
950,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,350,,350,9,,9,9,,9,9,,9,01dec2006,2006,01dec2006,2006,0,0,0,0,21,66,34,3,4,1,1,1,0,,1,1,1,1,0,,0,,,,350,,,,,,,,,,,,,,,,,,,,,,,,10,0,21,66,34,3,4,1,1,1,0,,1,1,1,1,0,,0,,,,1,0,0,0,0,1,0,0,0,,350,1,1,White,1,Thin,1,Perky,1,Black,1,Some curls,1,Escort,10,10
961,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,150,,150,7,,7,9,,9,8,,8,01aug2007,2007,01aug2007,2007,0,0,0,-2,18,63,36,2,6,,,1,1,,,,1,1,1,,,1,,,150,,,,,,,,,,,,,,,,,,,,,,,,3,-2,18,63,36,2,6,,,1,1,,,,1,1,1,,,1,,,1,0,0,0,0,1,1,0,1,0,150,1,1,African american,1,Baby fat,1,Super nice,1,Black,1,Curly,1,Escort/Massage,3,3
1053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,,300,7,,7,9,,9,8,,8,01sep2004,2004,01sep2004,2004,0,0,0,-2,21,66,34,4,6,1,1,1,0,0,1,1,1,1,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,46,-2,21,66,34,4,6,1,1,1,0,0,1,1,1,1,,,,,,,1,0,1,0,0,1,0,1,1,0,300,1,1,White,1,Thin,1,Rock hard,1,Bleached,1,Straight,1,Escort/Massage/S&M,46,46
1086,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,146,,146,9,,9,9,,9,9,,9,01oct2002,2002,01oct2002,2002,0,0,0,0,21,60,32,2,6,0,0,0,0,0,0,0,0,0,0,,1,,1,,146,,,,,,,,,,,,,,,,,,,,,,,,2,0,21,60,32,2,6,0,0,0,0,0,0,0,0,0,0,,1,,1,,1,0,0,,0,0,0,1,0,0,146,1,1,White,1,Athletic,1,Perky,1,Black,1,Straight,1,S&M,2,2
1122,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,250,,250,8,,8,9,,9,8.5,,8.5,01apr2006,2006,01apr2006,2006,0,0,0,-1,26,66,32,2,5,1,1,1,0,,1,1,1,1,1,,,,0,,250,,,,,,,,,,,,,,,,,,,,,,,,3,-1,26,66,32,2,5,1,1,1,0,,1,1,1,1,1,,,,0,,1,0,0,0,0,1,0,1,1,0,250,1,1,White,1,Athletic,1,Perky,1,Blonde,1,Straight,1,Escort/Massage/S&M,3,3
1164,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,350,,350,9,,9,9,,9,9,,9,01jun2008,2008,01jun2008,2008,0,0,0,0,31,66,36,4,4,1,1,1,0,1,1,1,1,1,1,,,1,,0,350,,,,,,,,,,,,,,,,,,,,,,,,61,0,31,66,36,4,4,1,1,1,0,1,1,1,1,1,1,,,1,,0,1,1,1,0,0,1,1,0,1,0,350,1,1,White,1,Athletic,1,Super nice,1,Black,1,Straight,1,Escort/Massage,61,61
